QueryID Q0 DocID Rank Score Doc2Vec
0 Q0 21257564 1 0.8121 Doc2Vec
0 Q0 28138927 2 0.7937 Doc2Vec
0 Q0 26071782 3 0.7449 Doc2Vec
0 Q0 18953920 4 0.7396 Doc2Vec
0 Q0 11335860 5 0.6949 Doc2Vec
0 Q0 4435369 6 0.6891 Doc2Vec
0 Q0 23244529 7 0.6595 Doc2Vec
0 Q0 45638119 8 0.6509 Doc2Vec
0 Q0 825728 9 0.6472 Doc2Vec
0 Q0 36480032 10 0.6354 Doc2Vec
0 Q0 7581911 11 0.6216 Doc2Vec
0 Q0 26731863 12 0.6069 Doc2Vec
0 Q0 3845894 13 0.5661 Doc2Vec
0 Q0 20155713 14 0.5507 Doc2Vec
0 Q0 42240424 15 0.5297 Doc2Vec
0 Q0 21456232 16 0.5238 Doc2Vec
0 Q0 20054396 17 0.5187 Doc2Vec
0 Q0 8246922 18 0.5149 Doc2Vec
0 Q0 10627801 19 0.5134 Doc2Vec
0 Q0 1855679 20 0.5103 Doc2Vec
0 Q0 37949139 21 0.4833 Doc2Vec
0 Q0 34753204 22 0.4775 Doc2Vec
0 Q0 27077180 23 0.4670 Doc2Vec
0 Q0 5500086 24 0.4548 Doc2Vec
0 Q0 29098525 25 0.4494 Doc2Vec
0 Q0 11886686 26 0.4451 Doc2Vec
0 Q0 13231899 27 0.4446 Doc2Vec
0 Q0 16541762 28 0.4415 Doc2Vec
0 Q0 1203035 29 0.4326 Doc2Vec
0 Q0 28249680 30 0.4260 Doc2Vec
0 Q0 43385013 31 0.4200 Doc2Vec
0 Q0 2566674 32 0.4123 Doc2Vec
0 Q0 24384587 33 0.4099 Doc2Vec
0 Q0 22522432 34 0.4098 Doc2Vec
0 Q0 36233757 35 0.4020 Doc2Vec
0 Q0 9159125 36 0.3987 Doc2Vec
0 Q0 19651306 37 0.3898 Doc2Vec
0 Q0 6948886 38 0.3886 Doc2Vec
0 Q0 8002887 39 0.3874 Doc2Vec
0 Q0 35008773 40 0.3835 Doc2Vec
0 Q0 10279084 41 0.3686 Doc2Vec
0 Q0 26030079 42 0.3681 Doc2Vec
0 Q0 1469751 43 0.3649 Doc2Vec
0 Q0 35760786 44 0.3648 Doc2Vec
0 Q0 16287725 45 0.3559 Doc2Vec
0 Q0 16355392 46 0.3480 Doc2Vec
0 Q0 8185080 47 0.3472 Doc2Vec
0 Q0 680949 48 0.3455 Doc2Vec
0 Q0 42421723 49 0.3437 Doc2Vec
0 Q0 23052989 50 0.3428 Doc2Vec
0 Q0 13923069 51 0.3384 Doc2Vec
0 Q0 5372773 52 0.3309 Doc2Vec
0 Q0 11390393 53 0.3303 Doc2Vec
0 Q0 6227220 54 0.3271 Doc2Vec
0 Q0 8891333 55 0.3264 Doc2Vec
0 Q0 25657127 56 0.3210 Doc2Vec
0 Q0 854417 57 0.3164 Doc2Vec
0 Q0 28193026 58 0.3066 Doc2Vec
0 Q0 14827874 59 0.3052 Doc2Vec
0 Q0 40584205 60 0.2982 Doc2Vec
0 Q0 9169645 61 0.2946 Doc2Vec
0 Q0 14103509 62 0.2916 Doc2Vec
0 Q0 1285713 63 0.2886 Doc2Vec
0 Q0 10906636 64 0.2857 Doc2Vec
0 Q0 10786948 65 0.2842 Doc2Vec
0 Q0 21439640 66 0.2713 Doc2Vec
0 Q0 12801438 67 0.2698 Doc2Vec
0 Q0 40667577 68 0.2668 Doc2Vec
0 Q0 34935825 69 0.2659 Doc2Vec
0 Q0 7548577 70 0.2627 Doc2Vec
0 Q0 3847200 71 0.2622 Doc2Vec
0 Q0 29334259 72 0.2608 Doc2Vec
0 Q0 15593561 73 0.2601 Doc2Vec
0 Q0 8417211 74 0.2593 Doc2Vec
0 Q0 45364685 75 0.2559 Doc2Vec
0 Q0 28436879 76 0.2559 Doc2Vec
0 Q0 11557602 77 0.2544 Doc2Vec
0 Q0 12824568 78 0.2524 Doc2Vec
0 Q0 3566945 79 0.2503 Doc2Vec
0 Q0 994800 80 0.2467 Doc2Vec
0 Q0 515489 81 0.2425 Doc2Vec
0 Q0 3203590 82 0.2423 Doc2Vec
0 Q0 1944452 83 0.2317 Doc2Vec
0 Q0 42731834 84 0.2139 Doc2Vec
0 Q0 121581019 85 0.2133 Doc2Vec
0 Q0 4702639 86 0.2080 Doc2Vec
0 Q0 39174007 87 0.2051 Doc2Vec
0 Q0 34386619 88 0.2046 Doc2Vec
0 Q0 9460704 89 0.1963 Doc2Vec
0 Q0 12156187 90 0.1912 Doc2Vec
0 Q0 31882215 91 0.1900 Doc2Vec
0 Q0 26025820 92 0.1844 Doc2Vec
0 Q0 24323369 93 0.1690 Doc2Vec
0 Q0 22534357 94 0.1682 Doc2Vec
0 Q0 32001951 95 0.1251 Doc2Vec
0 Q0 26886351 96 0.1213 Doc2Vec
0 Q0 16532419 97 0.1112 Doc2Vec
0 Q0 16929739 98 0.0817 Doc2Vec
0 Q0 27396415 99 0.0294 Doc2Vec
0 Q0 27247460 100 0.0194 Doc2Vec
2 Q0 13734012 1 0.8341 Doc2Vec
2 Q0 18617259 2 0.7138 Doc2Vec
2 Q0 1292369 3 0.5707 Doc2Vec
2 Q0 695938 4 0.5528 Doc2Vec
2 Q0 30655442 5 0.5425 Doc2Vec
2 Q0 13916484 6 0.5393 Doc2Vec
2 Q0 17333231 7 0.5102 Doc2Vec
2 Q0 42240424 8 0.5008 Doc2Vec
2 Q0 53302393 9 0.4810 Doc2Vec
2 Q0 19140422 10 0.4512 Doc2Vec
2 Q0 32481310 11 0.4479 Doc2Vec
2 Q0 12438901 12 0.4342 Doc2Vec
2 Q0 15648443 13 0.4301 Doc2Vec
2 Q0 20422174 14 0.4293 Doc2Vec
2 Q0 23124332 15 0.4168 Doc2Vec
2 Q0 76415938 16 0.4105 Doc2Vec
2 Q0 7020505 17 0.4091 Doc2Vec
2 Q0 13883546 18 0.3912 Doc2Vec
2 Q0 7264949 19 0.3833 Doc2Vec
2 Q0 20375264 20 0.3767 Doc2Vec
2 Q0 23126677 21 0.3756 Doc2Vec
2 Q0 4828631 22 0.3615 Doc2Vec
2 Q0 103007 23 0.3574 Doc2Vec
2 Q0 34498093 24 0.3536 Doc2Vec
2 Q0 12383365 25 0.3495 Doc2Vec
2 Q0 30226988 26 0.3487 Doc2Vec
2 Q0 36202354 27 0.3312 Doc2Vec
2 Q0 11880289 28 0.3295 Doc2Vec
2 Q0 3572885 29 0.3248 Doc2Vec
2 Q0 25786167 30 0.3195 Doc2Vec
2 Q0 4810810 31 0.3111 Doc2Vec
2 Q0 38882175 32 0.3080 Doc2Vec
2 Q0 841371 33 0.3067 Doc2Vec
2 Q0 21616324 34 0.3049 Doc2Vec
2 Q0 27873158 35 0.3045 Doc2Vec
2 Q0 11868606 36 0.3032 Doc2Vec
2 Q0 21855837 37 0.3002 Doc2Vec
2 Q0 5433667 38 0.2995 Doc2Vec
2 Q0 11271123 39 0.2993 Doc2Vec
2 Q0 195680777 40 0.2919 Doc2Vec
2 Q0 29947146 41 0.2911 Doc2Vec
2 Q0 4928057 42 0.2896 Doc2Vec
2 Q0 739734 43 0.2890 Doc2Vec
2 Q0 37438296 44 0.2878 Doc2Vec
2 Q0 11718220 45 0.2832 Doc2Vec
2 Q0 80522346 46 0.2830 Doc2Vec
2 Q0 16098747 47 0.2825 Doc2Vec
2 Q0 40987633 48 0.2814 Doc2Vec
2 Q0 3230361 49 0.2806 Doc2Vec
2 Q0 27240667 50 0.2788 Doc2Vec
2 Q0 18340282 51 0.2786 Doc2Vec
2 Q0 15617300 52 0.2718 Doc2Vec
2 Q0 24825841 53 0.2636 Doc2Vec
2 Q0 7114092 54 0.2606 Doc2Vec
2 Q0 20288322 55 0.2594 Doc2Vec
2 Q0 849771 56 0.2589 Doc2Vec
2 Q0 15476777 57 0.2567 Doc2Vec
2 Q0 18199839 58 0.2520 Doc2Vec
2 Q0 40343416 59 0.2406 Doc2Vec
2 Q0 8509018 60 0.2365 Doc2Vec
2 Q0 17209919 61 0.2341 Doc2Vec
2 Q0 4452318 62 0.2319 Doc2Vec
2 Q0 12442311 63 0.2267 Doc2Vec
2 Q0 21271817 64 0.2226 Doc2Vec
2 Q0 28592273 65 0.2221 Doc2Vec
2 Q0 40323454 66 0.2080 Doc2Vec
2 Q0 2236768 67 0.2041 Doc2Vec
2 Q0 29224825 68 0.1944 Doc2Vec
2 Q0 8496132 69 0.1940 Doc2Vec
2 Q0 8868863 70 0.1903 Doc2Vec
2 Q0 39300105 71 0.1892 Doc2Vec
2 Q0 175735 72 0.1882 Doc2Vec
2 Q0 41650417 73 0.1882 Doc2Vec
2 Q0 32922179 74 0.1854 Doc2Vec
2 Q0 1701063 75 0.1829 Doc2Vec
2 Q0 9433958 76 0.1821 Doc2Vec
2 Q0 22178316 77 0.1789 Doc2Vec
2 Q0 15347087 78 0.1788 Doc2Vec
2 Q0 3770726 79 0.1776 Doc2Vec
2 Q0 11992632 80 0.1773 Doc2Vec
2 Q0 3981729 81 0.1750 Doc2Vec
2 Q0 2701077 82 0.1734 Doc2Vec
2 Q0 30292811 83 0.1678 Doc2Vec
2 Q0 1791637 84 0.1672 Doc2Vec
2 Q0 10889845 85 0.1671 Doc2Vec
2 Q0 8610932 86 0.1515 Doc2Vec
2 Q0 11420613 87 0.1513 Doc2Vec
2 Q0 38143689 88 0.1505 Doc2Vec
2 Q0 35521287 89 0.1498 Doc2Vec
2 Q0 19651306 90 0.1490 Doc2Vec
2 Q0 13910150 91 0.1460 Doc2Vec
2 Q0 27123743 92 0.1434 Doc2Vec
2 Q0 44387884 93 0.1330 Doc2Vec
2 Q0 14188138 94 0.1079 Doc2Vec
2 Q0 2787558 95 0.1073 Doc2Vec
2 Q0 5123516 96 0.0956 Doc2Vec
2 Q0 3669694 97 0.0710 Doc2Vec
2 Q0 14191255 98 0.0650 Doc2Vec
2 Q0 14555750 99 0.0615 Doc2Vec
2 Q0 79336156 100 0.0526 Doc2Vec
4 Q0 5641851 1 0.6616 Doc2Vec
4 Q0 17775228 2 0.6057 Doc2Vec
4 Q0 16390264 3 0.5557 Doc2Vec
4 Q0 2061878 4 0.5500 Doc2Vec
4 Q0 24974080 5 0.5373 Doc2Vec
4 Q0 24980622 6 0.5338 Doc2Vec
4 Q0 25950264 7 0.5159 Doc2Vec
4 Q0 3590806 8 0.5141 Doc2Vec
4 Q0 39580129 9 0.5129 Doc2Vec
4 Q0 5372432 10 0.5066 Doc2Vec
4 Q0 9650982 11 0.4939 Doc2Vec
4 Q0 26973393 12 0.4936 Doc2Vec
4 Q0 39903312 13 0.4890 Doc2Vec
4 Q0 3095620 14 0.4851 Doc2Vec
4 Q0 6078882 15 0.4811 Doc2Vec
4 Q0 3524352 16 0.4804 Doc2Vec
4 Q0 14315749 17 0.4770 Doc2Vec
4 Q0 7165938 18 0.4768 Doc2Vec
4 Q0 12074066 19 0.4685 Doc2Vec
4 Q0 43334921 20 0.4498 Doc2Vec
4 Q0 21181273 21 0.4283 Doc2Vec
4 Q0 756887 22 0.4281 Doc2Vec
4 Q0 2205779 23 0.4193 Doc2Vec
4 Q0 23126677 24 0.4114 Doc2Vec
4 Q0 9831859 25 0.4069 Doc2Vec
4 Q0 2058909 26 0.4063 Doc2Vec
4 Q0 17163294 27 0.4055 Doc2Vec
